D:\Data\IMG\center_2022_11_15_13_29_26_407.jpg, D:\Data\IMG\left_2022_11_15_13_29_26_407.jpg, D:\Data\IMG\right_2022_11_15_13_29_26_407.jpg, 0, 0, 0, 2.5481E-05
D:\Data\IMG\center_2022_11_15_13_29_26_509.jpg, D:\Data\IMG\left_2022_11_15_13_29_26_509.jpg, D:\Data\IMG\right_2022_11_15_13_29_26_509.jpg, 0, 0, 0, 2.220984E-05
D:\Data\IMG\center_2022_11_15_13_29_26_611.jpg, D:\Data\IMG\left_2022_11_15_13_29_26_611.jpg, D:\Data\IMG\right_2022_11_15_13_29_26_611.jpg, 0, 0, 0, 2.281379E-05
D:\Data\IMG\center_2022_11_15_13_29_26_712.jpg, D:\Data\IMG\left_2022_11_15_13_29_26_712.jpg, D:\Data\IMG\right_2022_11_15_13_29_26_712.jpg, 0, 0, 0, 2.423555E-05
D:\Data\IMG\center_2022_11_15_13_29_26_813.jpg, D:\Data\IMG\left_2022_11_15_13_29_26_813.jpg, D:\Data\IMG\right_2022_11_15_13_29_26_813.jpg, 0, 0, 0, 2.587052E-05
D:\Data\IMG\center_2022_11_15_13_29_26_916.jpg, D:\Data\IMG\left_2022_11_15_13_29_26_916.jpg, D:\Data\IMG\right_2022_11_15_13_29_26_916.jpg, 0, 0, 0, 2.173882E-05
D:\Data\IMG\center_2022_11_15_13_29_27_018.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_018.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_018.jpg, 0, 0, 0, 2.373465E-05
D:\Data\IMG\center_2022_11_15_13_29_27_119.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_119.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_119.jpg, 0, 0, 0, 2.175842E-05
D:\Data\IMG\center_2022_11_15_13_29_27_220.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_220.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_220.jpg, 0, 0, 0, 2.268912E-05
D:\Data\IMG\center_2022_11_15_13_29_27_321.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_321.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_321.jpg, 0, 0, 0, 2.416549E-05
D:\Data\IMG\center_2022_11_15_13_29_27_422.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_422.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_422.jpg, 0, 0, 0, 2.453065E-05
D:\Data\IMG\center_2022_11_15_13_29_27_521.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_521.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_521.jpg, 0, 0, 0, 2.499132E-05
D:\Data\IMG\center_2022_11_15_13_29_27_623.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_623.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_623.jpg, 0, 0, 0, 2.435277E-05
D:\Data\IMG\center_2022_11_15_13_29_27_723.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_723.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_723.jpg, 0, 0, 0, 2.17705E-05
D:\Data\IMG\center_2022_11_15_13_29_27_824.jpg, D:\Data\IMG\left_2022_11_15_13_29_27_824.jpg, D:\Data\IMG\right_2022_11_15_13_29_27_824.jpg, 0, 0, 0, 2.22414E-05
